SALESORDERID,CREATEDBY,CREATEDAT,CHANGEDBY,CHANGEDAT,FISCVARIANT,FISCALYEARPERIOD,PARTNERID,SALESORG,LIFECYCLESTATUS,BILLINGSTATUS,DELIVERYSTATUS,SALESORDERITEM,PRODUCTID,NOTEID,ITEMATPSTATUS,OPITEMPOS,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,QUANTITYUNIT,QUANTITY,DELIVERYDATE
300000000,4,20160111,4,20160116,K4,2016001,100000022,APJ,C,C,C,10,MB-1034, ,I,,USD,2249.1,1967.9625,281.1375,EA,4,20160311
300000000,4,20160111,4,20160116,K4,2016001,100000022,APJ,C,C,C,20,CB-1161, ,I,,USD,359.1,314.2125,44.8875,EA,9,20160311
300000001,2,20160112,2,20160115,K4,2016001,100000026,EMEA,C,C,C,10,HB-1175, ,I,,USD,809.1,707.9625,101.1375,EA,2,20160228
300000001,2,20160112,2,20160115,K4,2016001,100000026,EMEA,C,C,C,20,RC-1056, ,I,,USD,2249.1,1967.9625,281.1375,EA,2,20160228
300000001,2,20160112,2,20160115,K4,2016001,100000026,EMEA,C,C,C,30,CC-1021, ,I,,USD,1029.6,900.9,128.7,EA,3,20160228
300000001,2,20160112,2,20160115,K4,2016001,100000026,EMEA,C,C,C,40,CB-1161, ,I,,USD,359.1,314.2125,44.8875,EA,6,20160228
300000002,5,20160115,5,20160120,K4,2016001,100000018,APJ,C,C,C,10,HB-1175, ,I,,USD,809.1,707.9625,101.1375,EA,6,20160309
300000002,5,20160115,5,20160120,K4,2016001,100000018,APJ,C,C,C,20,RC-1055, ,I,,USD,1799.1,1574.2125,224.8875,EA,3,20160309
300000002,5,20160115,5,20160120,K4,2016001,100000018,APJ,C,C,C,30,DB-1081, ,I,,USD,1349.1,1180.4625,168.6375,EA,3,20160309
300000002,5,20160115,5,20160120,K4,2016001,100000018,APJ,C,C,C,40,EB-1133, ,I,,USD,2025,1771.875,253.125,EA,10,20160309
300000002,5,20160115,5,20160120,K4,2016001,100000018,APJ,C,C,C,50,BX-1015, ,I,,USD,269.1,235.4625,33.6375,EA,9,20160309
300000002,5,20160115,5,20160120,K4,2016001,100000018,APJ,C,C,C,60,CC-1021, ,I,,USD,1029.6,900.9,128.7,EA,4,20160309
300000003,3,20160115,3,20160120,K4,2016001,100000009,EMEA,C,C,C,10,RC-1056, ,I,,USD,2249.1,1967.9625,281.1375,EA,3,20160223
300000003,3,20160115,3,20160120,K4,2016001,100000009,EMEA,C,C,C,20,BX-1013, ,I,,USD,404.1,353.5875,50.5125,EA,2,20160223
