SALESORDERID,SALESORDERITEM,PRODUCTID,QUANTITY,QUANTITYUNIT
200000000,10,MZ-FG-R100,6,EA
200000001,10,MZ-FG-P010,3,EA
200000002,10,MZ-FG-E102,7,EA
200000003,10,MZ-FG-E15,5,EA
200000003,20,MZ-FG-C990,9,EA
200000004,10,MZ-TG-E202,4,EA
200000005,10,MZ-TG-E202,10,EA
200000005,20,MZ-FG-E108,7,EA
200000005,30,MZ-FG-P010,10,EA
200000005,40,MZ-FG-M550,3,EA
200000005,50,MZ-TG-A27,9,EA
200000005,60,MZ-TG-A25,4,EA
200000006,10,CM-FL-V00,6,EA
200000007,10,MZ-TG-Y120,3,EA
200000007,20,M-01,8,EA
200000007,30,MZ-TG-E202,9,EA
200000007,40,MZ-FG-R300,7,EA
200000008,10,TG11,6,EA
200000009,10,MZ-FG-E108,1,EA
200000009,20,MZ-FG-C950,5,EA
200000009,30,MZ-TG-E202,9,EA
200000009,40,MZ-FG-R200,8,EA
200000010,10,MZ-FG-E15,6,EA
200000010,20,M1,9,EA
200000010,30,MZ-FG-C10,8,EA
200000010,40,MZ-FG-C900,5,EA
200000010,50,MZ-FG-E103,10,EA
200000011,10,MZ-FG-R300,8,EA
200000011,20,MZ-FG-R200,8,EA
200000011,30,MZ-FG-C20,8,EA
200000011,40,MZ-TG-SR01,5,EA
200000011,50,MZ-FG-M500,9,EA
200000011,60,MZ-FG-C20,9,EA
200000012,10,FG226,6,EA
200000012,20,MZ-TG-Y240,8,EA
200000013,10,MZ-FG-C990,8,EA
200000013,20,MZ-TG-A20,6,EA
200000013,30,MZ-FG-E102,9,EA
200000014,10,MZ-TG-A26,2,EA
200000014,20,MZ-TG-A27,7,EA
200000014,30,MZ-TG-A20,10,EA
200000014,40,MZ-FG-E108,2,EA
200000014,50,MZ-FG-R100,7,EA
200000015,10,MZ-FG-E101,2,EA
200000015,20,MZ-TG-Y120,6,EA
200000015,30,MZ-FG-E15,10,EA
200000016,10,MZ-FG-C20,8,EA
200000016,20,MZ-FG-M525,2,EA
200000017,10,MZ-FG-C21,5,EA
200000017,20,M1,2,EA
200000017,30,MZ-TG-E202,6,EA
200000017,40,CM-FL-V00,5,EA
200000017,50,MZ-FG-C10,8,EA
200000018,10,MZ-FG-C20,2,EA
200000018,20,MZ-TG-A20,8,EA
200000018,30,MZ-FG-C20,7,EA
200000018,40,MZ-FG-C990,4,EA
200000019,10,M-01,1,EA
200000019,20,MZ-FG-E102,3,EA
200000019,30,MZ-FG-C990,10,EA
200000020,10,MZ-TG-Y200,7,EA
200000020,20,FG226,6,EA
200000021,10,MZ-TG-A25,7,EA
200000021,20,MZ-FG-C20,8,EA
200000021,30,MZ-TG-Y200,8,EA
200000022,10,MZ-TG-A25,4,EA
200000023,10,M-01,5,EA
200000023,20,MZ-FG-C990,8,EA
200000023,30,MZ-TG-A27,10,EA
200000023,40,MZ-FG-E103,3,EA
200000023,50,MZ-FG-P010,1,EA
200000024,10,MZ-TG-A27,9,EA
200000024,20,MZ-FG-C990,7,EA
200000024,30,MZ-FG-E103,2,EA
200000025,10,M1,3,EA
200000025,20,MZ-FG-R300,4,EA
200000026,10,MZ-FG-M550,6,EA
200000026,20,FG226,1,EA
200000026,30,MZ-TG-A20,10,EA
200000026,40,TG11,5,EA
200000026,50,FG226,2,EA
200000027,10,MZ-FG-M550,2,EA
200000027,20,M1,5,EA
200000027,30,FG226,6,EA
200000027,40,MZ-FG-C900,5,EA
200000027,50,MZ-FG-P010,7,EA
200000027,60,MZ-FG-M525,7,EA
200000028,10,MZ-FG-E17,8,EA
200000028,20,MZ-TG-E202,7,EA
200000028,30,MZ-TG-A20,3,EA
